Name,Emp ID,Expense Type,Payment Type,Vendor Type,Payment Date,Country,Region,Company Code,Project Code,Cost Center,Receipt Status,,,Company Code
Julia,78268,Meals,Bank Transfer,Hotel,01-01-2022 10:42,Japan,East,9284,PJ928,CC19,Received,,,9284
Edward,53567,Travel,Cash,Taxi,18-01-2022 10:29,Canada,Central,4950,PJ755,CC37,Pending,,,4950
Ivan,52613,Travel,Cash,Restaurant,05-02-2022 18:33,Canada,Central,7843,PJ631,CC40,Rejected,,,7843
Diana,55891,Transport,Cash,Restaurant,05-07-2022 00:22,Canada,East,3665,PJ244,CC42,Received,,,3665
Edward,31243,Meals,Bank Transfer,Airline,11-12-2022 02:22,Canada,Central,7281,PJ580,CC31,Received,,,7281
Hannah,51993,Accommodation,Bank Transfer,Restaurant,19-11-2022 23:08,USA,West,6175,PJ960,CC3,Received,,,6175
Edward,96293,Accommodation,Credit Card,Airline,02-06-2022 01:20,Canada,West,3218,PJ366,CC36,Rejected,,,3218
Fiona,65026,Accommodation,Online,Restaurant,04-11-2022 17:12,France,North,6175,PJ798,CC37,Rejected,,,8706
Alice,90471,Transport,Credit Card,Taxi,16-06-2022 07:35,UK,East,8706,PJ257,CC20,Approved,,,5918
George,90966,Travel,Cash,Hotel,02-08-2022 02:21,Germany,South,5918,PJ817,CC9,Received,,,7840
Edward,58600,Transport,Cash,Airline,22-05-2022 11:16,UK,West,9284,PJ779,CC24,Received,,,1999
Charlie,49512,Transport,Online,Hotel,20-11-2022 11:57,USA,Central,7840,PJ469,CC44,Pending,,,2678
Ivan,62620,Transport,Bank Transfer,Hotel,20-12-2022 08:33,France,East,6175,PJ215,CC3,Approved,,,2959
Diana,90186,Accommodation,Credit Card,Hotel,20-03-2022 02:55,Germany,South,1999,PJ399,CC8,Rejected,,,1793
Bob,27089,Meals,Online,Restaurant,20-02-2022 23:12,USA,South,2678,PJ542,CC21,Approved,,,1268
Alice,42230,Transport,Cash,Taxi,22-09-2022 20:36,Japan,South,2959,PJ746,CC8,Approved,,,
Ivan,28983,Accommodation,Cash,Taxi,07-08-2022 10:35,France,South,1793,PJ206,CC49,Rejected,,,
